query_id,cosine_similarity,jaccard_similarity,collection,epsilon,mechanism
23849,0.28677243,0.027593073593073593,DL20,1,CosineGECO
42255,0.36424664,0.0948545997346307,DL20,1,CosineGECO
47210,0.41879243,0.13447679341642188,DL20,1,CosineGECO
67316,0.33236107,0.06949857860764444,DL20,1,CosineGECO
118440,0.26330513,0.0058823529411764705,DL20,1,CosineGECO
121171,0.19867095,0.008333333333333333,DL20,1,CosineGECO
135802,0.18830727,0.07225140056022408,DL20,1,CosineGECO
141630,0.470033,0.09335356498743226,DL20,1,CosineGECO
156498,0.34175158,0.024319264069264067,DL20,1,CosineGECO
169208,0.38320717,0.07693865345181135,DL20,1,CosineGECO
174463,0.25240102,0.03306599832915622,DL20,1,CosineGECO
258062,0.49414888,0.07303988603988604,DL20,1,CosineGECO
324585,0.31866845,0.05607953707798909,DL20,1,CosineGECO
330975,0.3839229,0.10143743630175181,DL20,1,CosineGECO
332593,0.37789103,0.08603075204609731,DL20,1,CosineGECO
336901,0.2658823,0.0663094623814438,DL20,1,CosineGECO
390360,0.30050185,0.025,DL20,1,CosineGECO
405163,0.39719576,0.050339105339105336,DL20,1,CosineGECO
555530,0.47489324,0.08689496248306317,DL20,1,CosineGECO
583468,0.26195255,0.08878618113912232,DL20,1,CosineGECO
640502,0.43769103,0.07993646996278575,DL20,1,CosineGECO
673670,0.26413924,0.13929727135609488,DL20,1,CosineGECO
701453,0.3303649,0.16150536125381326,DL20,1,CosineGECO
730539,0.33819795,0.06932435813240767,DL20,1,CosineGECO
768208,0.21291444,0.0790552503052503,DL20,1,CosineGECO
877809,0.33311036,0.11531639928698752,DL20,1,CosineGECO
911232,0.17111228,0.0761631920537839,DL20,1,CosineGECO
914916,0.5039052,0.151497607140022,DL20,1,CosineGECO
938400,0.20587942,0.012712121212121213,DL20,1,CosineGECO
940547,0.2486361,0.029208472686733555,DL20,1,CosineGECO
997622,0.25219625,0.1304848511070748,DL20,1,CosineGECO
1030303,0.116793655,0.05738858363858364,DL20,1,CosineGECO
1037496,0.21753304,0.09293534080298786,DL20,1,CosineGECO
1043135,0.22865503,0.08586401929584053,DL20,1,CosineGECO
1051399,0.24119005,0.11540272807687668,DL20,1,CosineGECO
1064670,0.24038824,0.009808612440191388,DL20,1,CosineGECO
1071750,0.1978169,0.04854413702239789,DL20,1,CosineGECO
1105792,0.15177886,0.0,DL20,1,CosineGECO
