query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
1,Ferroportin-1 in humans,"is that far-feiron stimulate interferon production in the infrared, and may stimulate -interferon production",CosineGECO,1,0.001,does far infrared stimulate interferon production,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,Ferrol Ferrol (Ferlin) is a seed and vegetable concentrate that treats liver disease and obstructive johnsonia,CosineGECO,1,0.001,what is ferrol,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,Fabinosine fibronectin Fabinosine fibronectin is a fetal hormone that acts to conjoin,CosineGECO,1,0.001,what does fetal fibronectin do,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"on a roller coaster, the first ferris wheel (Fernand-Farner-Farner wheel) was invented in",CosineGECO,1,0.001,the first ferris wheel was invented in,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"a 1 chloride tablet or a 1 chlorinette tablet, there are 5 ppm tablets per 100 gallons of public l",CosineGECO,1,0.001,how many chlorine tablets are 1 ppm,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,done at the medullar and chorionic regions where transferrin saturation is a major process. This is done by applying,CosineGECO,1,0.001,where is transferrin saturation done,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"bRCA1 gene BRCA1 is a gene that in humans is defined as a class of phenotypes, disorder",CosineGECO,1,0.001,brca1 gene definition,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,fluorouracil (floruitacil) is a pharmacological drug and a potentiate of fluor,CosineGECO,1,0.001,what is fluorouracil,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"significance of aspergillus is on humans, and its possible significance to humans, including the olfactory health of agasm",CosineGECO,1,0.001,significance of aspergillus to humans,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,Sermorelin sermorelin (GhrH) is a glucocorticoid cleavage hormone,CosineGECO,1,0.001,what is sermorelin ghrh,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
