query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
1,Ferroportin-1 in humans,GF-1 gene traf1 gene is a glioprotein synthesis pathway gene (GG) and a known GF-,CorrelationGECO,50,0.001,what is traf1 gg gene,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,where the earliest fossils of our human ancestors - i.e. human ancestors - have been found,CorrelationGECO,50,0.001,where have the fossils of our earliest human ancestors been found,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,ferro research – CEO of ferro research – neophytetrapedia CEO and gastronomy consultant. Ferring,CorrelationGECO,50,0.001,ferring research ceo,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"taking UVV with VIS Persin, pyritol-persin and sorbitol. UVV VISH",CorrelationGECO,50,0.001,taking UV VIS of permethrin,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,a Crit portico . Crit portico is a fecundity analysis and a daily diagnostic tool that is a CT,CorrelationGECO,50,0.001,what is a crit portico,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,MERcaptopurine is a sulfositol-furan-capsidium thioamine,CorrelationGECO,50,0.001,what is mercaptopurine,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"esopangiolin and esopirin, the Gfr inhibitor egfr. This inhibitor can reduce",CorrelationGECO,50,0.001,egfr inhibitor,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"(lactoferrin) is in the stool as a result of sedation of feces, lactoferrin means",CorrelationGECO,50,0.001,what does lactoferrin in stool mean,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,carbohydrate deficiency test (carbinoluccin transfer test or carnitine transfer test) is a recurrent,CorrelationGECO,50,0.001,carbohydrate transferrin deficiency test,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"Currently, the strain value of human skin is 10–20 agr. This value is due to the effects on human tissue.",CorrelationGECO,50,0.001,what is the strain value of human skin,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"which pancreatic cell produces glucagon, a glucagon cell containing glucagon/glucosaprine",CorrelationGECO,50,0.001,which pancreatic cell produces glucagon,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,Mutant cell Mutant cells (or mutant cells) are a group of cells that are abnormal in development and are a remnant of the human embryo,CorrelationGECO,50,0.001,what are mutant cells,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"bacterial mRNA transcribes a polymerase-coding protein, which the genes transcribe to produce if quizzes",CorrelationGECO,50,0.001,what does a bacterial rna polymerase produce when it transcribes a protein-coding gene quizlet,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"compare the number of genes in humans with chimpanzees, lizards, apes, mice, and gorillas",CorrelationGECO,50,0.001,"compare the number of genes in humans with chimpanzees, gorillas, and mice",msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"Why tripotelic trinoids are sterile, and as a result, trinoids are sterile when clean water is",CorrelationGECO,50,0.001,why are triploid sterile,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"teratogens, a definition of tetrahedrons (live-organs) in the population of vertebrate mammals",CorrelationGECO,50,0.001,teratogens definition,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"the Fmr1 gene, Fmr1 is a gene that explains the genetics of the F-carboxylide disorder",CorrelationGECO,50,0.001,what is the fmr1 gene,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,The transfer of genetic information from a RNA  to a DNA  RNA  RNA   is called,CorrelationGECO,50,0.001,The transfer of genetic information from DNA to RNA is called,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"Known as transgenic mouse strains, mouse strains are a group of strains of adrenergic proteins found on f",CorrelationGECO,50,0.001,what is transgenic mouse strains,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,is that bacteria containing recombinant plasmids (recombinant plasmids) are allowed to grow and,CorrelationGECO,50,0.001,is bacteria containing recombinant plasmids allowed to grow and reproduce,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"a low-dose NSAI, a low-dose, NSAI, Ibrance does cause kidney problems, including kidney stones,",CorrelationGECO,50,0.001,does ibrance cause kidney problems,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,1–2 nm. Mild malrotation of kidney is a form of kidney disease where small amounts of blood are re,CorrelationGECO,50,0.001,what is mild malrotation of kidney,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,kidneys acute pyelonephritis symptoms (or pyelonephritis rheumatism,CorrelationGECO,50,0.001,kidneys acute pyelonephritis symptoms,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,gene is located on the -sem. The -sry gene is located on Apologis for both imaging conditions,CorrelationGECO,50,0.001,what gene is sry located on,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"which traces the correct path of a protein in the cell, – according to the cell’s biomechanics and respires",CorrelationGECO,50,0.001,what correctly traces the path of a protein in the cell,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"basis of the reference interval of thrombin time, based on the time of thrombin, and thrombin cation",CorrelationGECO,50,0.001,basis of reference interval of the thrombin time,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"the hormones that are produced by the kidneys, including natriuretic hormones and testosterone, a hormone-secretory drive",CorrelationGECO,50,0.001,what hormones are produced by the kidneys,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,1 diabetes and 1 glucose coding are linked together. 2 gangrene is linked to immediate coding if,CorrelationGECO,50,0.001,are diabetes and gangrene immediately linked coding,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"the markers for liver disease in cats, based on the markers of a cat’s fecal onion, cholestyl",CorrelationGECO,50,0.001,what are the markers for liver disease in cats,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,that the Fruit for Gene study demonstrated that flies were a tool for studying apoptosis and disease. It also showed that,CorrelationGECO,50,0.001,What did fruit fly studies of the for gene demonstrate?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,is a single gene - melanin          is melan,CorrelationGECO,50,0.001,is melanin a single gene,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,"The function of a gene, or a gene, is to continue to function the body of the human genome, including the effects of a",CorrelationGECO,50,0.001,what is the function of a gene,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,"is Her2 is a gene (as with APENSA1 and Her2-Aps). Unlike the U-T gene,",CorrelationGECO,50,0.001,is Her2 a gene,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,"a risk of developing a type of microbial swine disease called mouse urine, which is a disease from mousepneumoni",CorrelationGECO,50,0.001,what disease do you get from mouse urine,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,is sertraquel sulfated by the kidneys and that sedative spleen oxytocin is excreted,CorrelationGECO,50,0.001,is seroquel excreted by the kidneys,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,"m.c. or m.d. tests, a urine test, or bronchoscopy tests are used for kidney cancer",CorrelationGECO,50,0.001,what tests are used for kidney cancer,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,"a normal EGFFR blood profile, blood ranges ranging from 0 to 0.5 g/dL or a normal blood profile",CorrelationGECO,50,0.001,eGFR blood profile normal ranges,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,"what is an alternate version of a gene, which is the -additional version of -additional version.",CorrelationGECO,50,0.001,what is the alternate version of a gene,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,"a number of steps in gene expression in prokaryotes, i.e., gene expression of karyote exc",CorrelationGECO,50,0.001,steps of gene expression in prokaryotes,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,"In analysis, restriction enzymes play a role in eda-resistance enzymes to determine the fate of DNA.",CorrelationGECO,50,0.001,what role do restriction enzymes play in the analysis of edna?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
5,Protocols for isolating cell nuclei,abbreviation for radiation therapy,CorrelationGECO,50,0.001,abbreviation for radiation therapy,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
5,Protocols for isolating cell nuclei,"Elektra Sixties programming instructions. Instructions include instructions for programming from nm9696 to nm9696, storing",CorrelationGECO,50,0.001,elektra sixties programming instructions,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
5,Protocols for isolating cell nuclei,of the molecules that these molecules are needed for –A–C – is responsible for transmitting the energy needed by a cell to its body,CorrelationGECO,50,0.001,which of the following molecules is responsible for transmitting the energy needed by cells,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
5,Protocols for isolating cell nuclei,type of iodine or iodine-assisted iodine kills cancer cells and reduces the,CorrelationGECO,50,0.001,what type of iodine reduces or kills cancer cells,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
5,Protocols for isolating cell nuclei,"which bones are considered to be bone-dissolving cells (e.g., bone dystole or bone liquids)",CorrelationGECO,50,0.001,what bones is considered bone-dissolving cells,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
5,Protocols for isolating cell nuclei,"proton treatment for thyroid cancer and thyroid cancer, ion-cancer and ion-cancer treatment for cancer of",CorrelationGECO,50,0.001,proton cancer treatment for thyroid,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
5,Protocols for isolating cell nuclei,"Modulator tc Modulator tc (4.0) is used in radiology, specifically tomography, atomic phys",CorrelationGECO,50,0.001,what is the modifier tc used for radiology,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
5,Protocols for isolating cell nuclei,code is a 0x1050A (circulate heart muscle tetalipcode) for the nuclear stress test,CorrelationGECO,50,0.001,what is the cpt code for a nuclear cardiac stress test,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
