query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
1030303,who is aziz hashim,"a kid from a closet, Shazam is an independent, who is now a regular on U.S. TV. Shazam",CorrelationGECO,5,0.001,who is shazam?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"Ashad (woman) Ashad ( ) is a-loving artist, broadcaster, and host of Ahmad",CorrelationGECO,5,0.001,who is ashad,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,a dissipation. A amide is a n-acid binucleotide based organic molecule.,CorrelationGECO,5,0.001,what is an amide?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"avi avi      , who is zee Honey, a man and",CorrelationGECO,5,0.001,who is zee avi honey and,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,drug which is a type of drug – hashish or hygroscopic hashish is a type of cigarette,CorrelationGECO,5,0.001,what type of drug is hashish,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,nad maish med nad maish pPI number is 65024 at Zimaish,CorrelationGECO,5,0.001,ziad mamish npi number,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"Keith Paschal is a former CS League player, legend, and music producer, who created and managed the Jeff Wunderhofer-Lake",CorrelationGECO,5,0.001,who is keith paschall,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,shaykh hamham is a hero and archivist of the Indian National Film Board Shamshad Hersham Kabb,CorrelationGECO,5,0.001,who is shaykh hisham kabbani,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"a former khani nut, Kanya Cindy, better known as kanya sesser, is a music hall",CorrelationGECO,5,0.001,who is kanya sesser,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"(i.e.,         ): hades, an",CorrelationGECO,5,0.001,hades definition,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"who is the speaker of the house of the United States, and U.S. President Joe Payne of the United States of America, a Wednesday",CorrelationGECO,5,0.001,who is the speaker of the house for the united states?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"glenn reed is a renowned actor, comedian, and creator of ""Peter Grant and the Hands on Earth",CorrelationGECO,5,0.001,who is glenn reed?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"which senate committee is staffed by both parties, or at least one senate senate senate .",CorrelationGECO,5,0.001,which senate committee is equally staffed by both parties?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,and senators,CorrelationGECO,5,0.001,what senators and representatives work for,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"district representative Nelson, who represents State Senator John McNeil-Nelson, whose landslide loss has impacted the Senate",CorrelationGECO,5,0.001,which district senator nelson represents,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,difference between the senate and the House of Representatives is the senate of the House of Representatives and a promise of rep,CorrelationGECO,5,0.001,what are the differences between senate and house of rep,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"defining senatorial courtesy, a senate-congress-congress-question-electing-button quiz",CorrelationGECO,5,0.001,define senatorial courtesy quizlet,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"John E. EARL. John Reese, was a storied earl of the New Hampshire gubernatori",CorrelationGECO,5,0.001,who was john earl reese?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"who is known as a 'Indiana poet' and a 'vicesco poet', is John Hoosier",CorrelationGECO,5,0.001,who is known as the hoosier poet,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,US representative – United States of America US representative – United States of America (US-Representative) is a public service aide who,CorrelationGECO,5,0.001,what is us representative,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,because of a MARINE DRESS MONROYN LOYN. Maria Monroe was killed and subsequently killed,CorrelationGECO,5,0.001,why was marilyn monroe killed,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"by a gang slam on a kristet at the age of 6 YO, Kris Kyle was killed by",CorrelationGECO,5,0.001,how did kris kyle get killed,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"who hit a nicote, and who killed Natalie Brown-Simpson. The next case, the Little Miss Juvenile",CorrelationGECO,5,0.001,who killed nicole brown simpson?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,in jail and a resuscence in the upcoming Bruise Licence case is the man who killed Chris Kyle,CorrelationGECO,5,0.001,is man who killed chris kyle in jail,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"at what was Kenny Irwin's track, and at the CSIROF track, Kenny Irwin was killed",CorrelationGECO,5,0.001,at what track was kenny irwin killed,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"how Carlos Cliober really died, or if it is true, it is a klebis, and he died from pneumonia",CorrelationGECO,5,0.001,how did carlos kleiber really die,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,man known as 'Castro' who was killed in Central America with his homicidal wife and 'Sestro',CorrelationGECO,5,0.001,who was the man with castro that was killed in central america,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"famous Russian, Alyutin Tesyevich Matinshevsky, who improved the Element Table for a time",CorrelationGECO,5,0.001,the famous russian who improved the element table,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,voltage for electrical in Russia. (called,CorrelationGECO,5,0.001,voltage in russia,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
