query_id,cosine_similarity,jaccard_similarity,collection,epsilon,mechanism
1,0.23182377,0.028095238095238097,Med04,1,CosineGECO
2,0.2682251,0.01,Med04,1,CosineGECO
3,0.23753944,0.05945900289940538,Med04,1,CosineGECO
4,0.2522639,0.05856800204626291,Med04,1,CosineGECO
5,0.22386734,0.024628237259816204,Med04,1,CosineGECO
6,0.108334914,0.0,Med04,1,CosineGECO
7,0.266837,0.03126224652540442,Med04,1,CosineGECO
8,0.2575614,0.08252370249812704,Med04,1,CosineGECO
9,0.09337102,0.0,Med04,1,CosineGECO
10,0.14305843,0.0,Med04,1,CosineGECO
11,0.2919141,0.04055350480273081,Med04,1,CosineGECO
12,0.1982201,0.023181818181818182,Med04,1,CosineGECO
13,0.17165902,0.063645961881256,Med04,1,CosineGECO
14,0.23482355,0.046262246525404414,Med04,1,CosineGECO
15,0.2285023,0.012222222222222221,Med04,1,CosineGECO
16,0.2939579,0.010317460317460317,Med04,1,CosineGECO
17,0.26943424,0.00909090909090909,Med04,1,CosineGECO
18,0.19046602,0.0,Med04,1,CosineGECO
19,0.15137424,0.06704887218045112,Med04,1,CosineGECO
20,0.14950596,0.016783216783216783,Med04,1,CosineGECO
21,0.28538284,0.08772597353635782,Med04,1,CosineGECO
22,0.17651626,0.033318498116452086,Med04,1,CosineGECO
23,0.09669651,0.025362318840579712,Med04,1,CosineGECO
24,0.1801332,0.00625,Med04,1,CosineGECO
25,0.3399683,0.12224908863066757,Med04,1,CosineGECO
26,0.17766447,0.08203096310294453,Med04,1,CosineGECO
27,0.24024162,0.06920546558704453,Med04,1,CosineGECO
28,0.2088819,0.0978704258903478,Med04,1,CosineGECO
29,0.22136231,0.00909090909090909,Med04,1,CosineGECO
30,0.20247702,0.061075036075036074,Med04,1,CosineGECO
31,0.21978688,0.0,Med04,1,CosineGECO
32,0.18635212,0.062421547601080506,Med04,1,CosineGECO
33,0.14901042,0.035993867243867245,Med04,1,CosineGECO
34,0.2690787,0.06179587803500847,Med04,1,CosineGECO
35,0.20584086,0.03357466063348417,Med04,1,CosineGECO
36,0.18803228,0.0,Med04,1,CosineGECO
