query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
156493,do goldfish grow,"types of food, goldfish are a food for a high intake of fatty acids such as ruminant grass, cypress",CosineGECO,50,0.001,types of food for goldfish,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"the levels of Goldendoodles are different from each other, they are a combination of three types of doodles: golden deluxe (",CosineGECO,50,0.001,what are the different levels of goldendoodles,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"largest gold refinery, the Gold Refinery (Golden Concentration and Fluorescence Refinery of Mercantile and a $1",CosineGECO,50,0.001,largest gold refinery,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,from 0 to 4 m (60 to 270 ft) tall a shark can grow as large as a shark can grow,CosineGECO,50,0.001,how large can a shark grow,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"if it is too cold, gold fish will die if they are a bit too cold or if they are in a cold environment",CosineGECO,50,0.001,will gold fish die if its too cold,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"things you get when you grow, which grows bigger when you get taller, and cradles, tads, and f",CosineGECO,50,0.001,what grows when you get taller,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"is how much light a plant grows, as far as it affects the color of light, i.e., the red/light",CosineGECO,50,0.001,does the color of light affect how much a plant grows?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"a life of 240–240 years, goldfish (Oxygenus cristatus) are a fish with an active energy",CosineGECO,50,0.001,what is the lifespan of a goldfish,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"a height of 125 to 125 cm and a length of , the goldfish butterfly tail fishes are a water-flow",CosineGECO,50,0.001,"what is the height,size of a butterfly tail goldfish",msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"from 0 to 7-8 m in height, Gardenias grow like a big 'Gambinia', and",CosineGECO,50,0.001,how big do gardenias get,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,Bluetooth usb is a data cd/phono floppy drive and Bluetooth floppy disk that is useful for personal computers,CosineGECO,50,0.001,what is bluetooth usb,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,"oat bran is a difference between oatmeal and oatmeal, whereas oats and grazing grain are",CosineGECO,50,0.001,difference between oatmeal and oat bran,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,difference between airway (the air adreneascent and the air axing) and breathing is the difference between lungs,CosineGECO,50,0.001,difference between airway and breathing,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
