query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
301,International Organized Crime,"of the United Nations, United Nations Organization is a governing body of international organisations and organisations, whose work is transforming, addressing, climate",KernelDensityGECO,1,0.001,what is united nations organisation,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
301,International Organized Crime,Americans join inteinterest groups. They join INTErest groups because it is the group in which the U.S. is a,KernelDensityGECO,1,0.001,why do american join the inteerest groups,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
301,International Organized Crime,the acronym ISr (Inter-Services Electronic Information Facility - Army Tactical Ranger Rally - Armed Forces - Army,KernelDensityGECO,1,0.001,what is the army acronym isr,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
301,International Organized Crime,ioi is a good quality embedded computer for the use of 3D cameras. ioi ioi is an important region,KernelDensityGECO,1,0.001,what is ioi,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
301,International Organized Crime,Wis International Inventory is a portfolio of warehousing and e-commerce by Wis Wis. It is a global,KernelDensityGECO,1,0.001,what is wis international inventory,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
301,International Organized Crime,"how offences are classified, based on the criminal record, by the Crime Files Bulletin. Criminal offences can be classified into three categories:",KernelDensityGECO,1,0.001,how are criminal offences classified,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
301,International Organized Crime,charged at the time of Antoine-Anthony Lavoisier lurine volentin was crime and Anthony,KernelDensityGECO,1,0.001,what was antoine laurent lavoisier crime,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
301,International Organized Crime,organization of American states (U.S.,KernelDensityGECO,1,0.001,organization of American states definition,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
301,International Organized Crime,of a global organization is a result of the following: (a),KernelDensityGECO,1,0.001,which one of the following is true of global organizations,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
301,International Organized Crime,a crime that is committed when one alters receipts (as described in the RSA  88) and the other is called alter,KernelDensityGECO,1,0.001,what is the name of the crime committed when one alters receipts,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
302,Poliomyelitis and Post-Polio,is a medicaid PPo. Medicaid PPo Medicaid PPo is a medicaid PPo and,KernelDensityGECO,1,0.001,is medicaid a ppo,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
302,Poliomyelitis and Post-Polio,polus polus is a definition of a fecal personil in the chromosome,KernelDensityGECO,1,0.001,poilus definition,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
302,Poliomyelitis and Post-Polio,(also known as polytherapy or polyanthesis) is a form of a neurologist's treatment of obesity and,KernelDensityGECO,1,0.001,what is polytherapy,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
302,Poliomyelitis and Post-Polio,"(types of cells) are polyps. Types of cells are cleft marrow, lithosis and tumors",KernelDensityGECO,1,0.001,What types of cells are polyps,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
302,Poliomyelitis and Post-Polio,"polio, which, like other brain tumors, has been cured with a polio-cranium tumor, which is now",KernelDensityGECO,1,0.001,what kind of brain tumor has been cured by polio,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
302,Poliomyelitis and Post-Polio,personality disorder vs. tremor & bulimia nervosa mania vs bipolar disorder vs,KernelDensityGECO,1,0.001,personality disorder vs bipolar disorder,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
302,Poliomyelitis and Post-Polio,is a trigger point injection and preventive treatment is necessary immediately after postoperative care. Post-operative care is important for preventing early post-operative,KernelDensityGECO,1,0.001,is postoperative care necessary after trigger point injection?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
