query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
1,Ferroportin-1 in humans,may be used to treat hypertension if proscar is used alone or if the use of a safe dose of hysterone essential,KernelDensityGECO,1,0.001,can proscar be used for essential hypertension,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"In the human body, the flank is located on the human femur where it grows from the middle to the upper neophyt",KernelDensityGECO,1,0.001,where is the flank located on the human body,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,diseases that can be cleared for humans include a glaucoma and a glaucoma. This is provided for humans after diabetes,KernelDensityGECO,1,0.001,what disease can get cleared for humans,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,a way to administer rocephin IV per port or a port on a ciptus and continue to monitor the concentration,KernelDensityGECO,1,0.001,how to administer rocephin iv per port,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,bamitol in humans and other eczema- and thyroectal in humans. In,KernelDensityGECO,1,0.001,bamitol in humans,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"heparin is found in a variety of foods, including glucose, guaranine and potassium salts that find",KernelDensityGECO,1,0.001,what is heparin found in,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,is fertilin -fetroliin -feritin -transports the iron p,KernelDensityGECO,1,0.001,is ferritin the transport iron,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"what metals the human body needs, namely olefin, bauxite, and cyanoglobin, the human",KernelDensityGECO,1,0.001,what metals do the human body need,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"where human fertilization occurs (ovulation, uterine ovulation, amputations, etc.) and this is not known",KernelDensityGECO,1,0.001,where does human fertilization occur,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"a 50 mg dose available, Effexorfex (epfexorfex) is available as a drop-off",KernelDensityGECO,1,0.001,what dose is effexor available,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,Quinct. 1. Alternative forms of a gene from a given locus are called a gene attest by a method that divergent,KernelDensityGECO,1,0.001,Alternative forms of a gene at a given locus are called quizlet,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,are hormones endogenous (hormones and endocrine hormones and a few other acropomases) or,KernelDensityGECO,1,0.001,are hormones endogenous,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"what many genes are involved in a monohybrid cross, i.e., 1 to 3 m and 1",KernelDensityGECO,1,0.001,how many genes are involved in a monohybrid cross,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"We generate a hypothesis out of a theory, and then work out how we can extract the result of a theory into a hypothesis-",KernelDensityGECO,1,0.001,how do we generate a theory out of a hypothesis,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,the DNA (DNA) gene and a dna1/2 alopecia and cisleboxylamine affects maleness,KernelDensityGECO,1,0.001,which dna gene effects maleness,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,a Pro- and Cons- of genetically modified sudden death mosquitoes for unforeseen health problems and a possible cost-effectiveness of killing,KernelDensityGECO,1,0.001,pros and cons of genetically modified sudden death mosquitoes,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"why genetic engineering is done is because it is a means to develop a biomedical model of disease, and because genetics has been done",KernelDensityGECO,1,0.001,why is genetic engineering done,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"when, after a period of time such as between April and July when they start sperm and sperm hatch, mice reproduce as males",KernelDensityGECO,1,0.001,when do mice reproduce,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,a pyometra is a pyogene that is a type of a cell on the oedipal,KernelDensityGECO,1,0.001,what is a pyometra,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"there are 470 to 900 same genes, of which there are 10 genes (one for each of the first two), and one for the last two",KernelDensityGECO,1,0.001,how many same genes are there,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,the occurrence of a given enzyme. Endocrine augmentation and enzymatic abostration will cause an increased output of hormone,KernelDensityGECO,1,0.001,which hormone causes an increased output of enzyme,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"2 mRNA, 3 mRNA, and a mouse mouse has as many as 10 genes, which in humans, they can also be known",KernelDensityGECO,1,0.001,how many genes do mice have,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,study of how genes affect a person's response to drugs is known as the study of the 'drug response': br,KernelDensityGECO,1,0.001,the study of how genes affect a person's response to drugs is known as:,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"the antigen presenting cell on eczema, erythropoietic antigen E3V and HERSTROM",KernelDensityGECO,1,0.001,which antigen presenting cell in eczema coursehero,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"whether regulatory genes synthesize proteins, or if they are a continuation of normal protein synthesis, may synthesize cytokines,",KernelDensityGECO,1,0.001,do regulatory genes synthesize protein,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,process for inserting a gene into bacterium and bacterium is the process of preparing the gene in erect blubber,KernelDensityGECO,1,0.001,process of inserting gene into bacterium,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"if there is a link between urea and gout disease, and other gout disorders, gout is related to kidney",KernelDensityGECO,1,0.001,is gout related to kidney disease,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"in genetic therapy, i.e., what are the ethical issues relating to gene therapy, and what costs are associated with denting specific tumor",KernelDensityGECO,1,0.001,densing what are the ethical issues surrounding gene therapy?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"if there is a genetic defect or a miscarriage of an expression, it means a gene () is expressed.",KernelDensityGECO,1,0.001,what does it mean if a gene is expressed?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"from a standard of 4.5 to 4.5 hours to process beans, it takes 30 to 45 minutes to process kidney beans delivered on a food",KernelDensityGECO,1,0.001,how long to process kidney beans,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,"kidney failure symptoms before death such as pain, a relapse in heart rate, and a response to the symptoms of kidney failure weeks before death",KernelDensityGECO,1,0.001,kidney failure symptoms before death,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
4,Gene expression profiles for kidney in mice,Genetics of a gene RNR Genetics is a genetics of the genetics of a gene that is reactive reactive chromosome,KernelDensityGECO,1,0.001,what is RNR genetics,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
